coin,crash_seed_index,start,end,close_mu,close_sigma,close_nu,close_tau,low_mu,low_sigma,low_nu,low_tau,high_mu,high_sigma,high_nu,high_tau,open_mu,open_sigma,open_nu,open_tau,epsilon
"BTC",84,9366,18066,2,1.5,1,3.5,2.5,2,10,2.3,2.5,2,10,2.2,2,1.5,1,3.5,0.04
"ETH",6,10023,18723,2,1.5,1,3.5,2.5,2,10,2.3,2.5,2,10,2.2,2,1.5,1,3.5,0.04
"XRP",16,9799,18499,2,1.5,1,3.5,2.5,2,10,2.3,2.5,2,10,2.2,2,1.5,1,3.5,0.04
"BCH",13,1285,9985,2,1.5,1,3.5,2.5,2,10,2.3,2.5,2,10,2.2,2,1.5,1,3.5,0.04
"ADA",85,356,9056,2,1.5,1,3.5,2.5,2,10,2.3,2.5,2,10,2.2,2,1.5,1,3.5,0.04
"NEO",21,1361,10061,2,1.5,1,3.5,2.5,2,10,2.3,2.5,2,10,2.2,2,1.5,1,3.5,0.04
"XLM",80,9782,18482,2,1.5,1,3.5,2.5,2,10,2.3,2.5,2,10,2.2,2,1.5,1,3.5,0.04
"LTC",14,9408,18108,2,1.5,1,3.5,2.5,2,10,2.3,2.5,2,10,2.2,2,1.5,1,3.5,0.04
"EOS",81,1832,10532,2,1.5,1,3.5,2.5,2,10,2.3,2.5,2,10,2.2,2,1.5,1,3.5,0.04
"MIOTA",25,33,8733,2,1.5,1,3.5,2.5,2,10,2.3,2.5,2,10,2.2,2,1.5,1,3.5,0.04
"DASH",17,9441,18141,2,1.5,1,3.5,2.5,2,10,2.3,2.5,2,10,2.2,2,1.5,1,3.5,0.04
"XMR",1,9450,18150,2,1.5,1,3.5,2.5,2,10,2.3,2.5,2,10,2.2,2,1.5,1,3.5,0.04
