,step,rollout/ep_rew_mean,train/approx_kl,train/clip_fraction,train/entropy_loss,train/explained_variance,train/loss,train/policy_gradient_loss,train/value_loss
0,3556,-0.0020359999034553766,0.5774605870246887,0.3161042630672455,-18.218368530273438,-0.14349544048309326,-0.0039599682204425335,0.012364659458398819,4.67018468341962e-09
1,5334,-0.0020375000312924385,0.573000431060791,0.2613048553466797,-18.32668113708496,-0.12601351737976074,0.03845833241939545,0.023657914251089096,8.422008868080866e-09
2,7112,-0.0020129999611526728,0.6076003313064575,0.28541433811187744,-18.291275024414062,-0.10862672328948975,-0.004523152951151133,0.011017966084182262,3.6131482250567615e-09
3,8890,-0.0019832500256597996,0.6894199252128601,0.274446964263916,-18.064123153686523,-0.13216125965118408,-0.09349910914897919,0.050198473036289215,5.20698684169929e-09
4,10668,-0.002002200111746788,0.5946175456047058,0.27656543254852295,-18.099063873291016,-0.12667512893676758,0.023548943921923637,0.018173664808273315,4.394921759853787e-09
5,12446,-0.002004666719585657,0.542226254940033,0.27105364203453064,-18.01284408569336,-0.06555581092834473,0.08574513345956802,0.021844105795025826,3.880284982216153e-09
6,14224,-0.0019779999274760485,0.5974040627479553,0.25399327278137207,-17.91674041748047,-0.08623147010803223,0.11298125982284546,0.016000688076019287,4.116541330034806e-09
7,16002,-0.0019593751057982445,0.5656957626342773,0.2426321804523468,-17.884309768676758,-0.14798152446746826,-0.08768981695175171,0.0283023901283741,2.9589115602135507e-09
8,17780,-0.001935666659846902,0.6584672927856445,0.27433446049690247,-17.732824325561523,-0.1442248821258545,-0.007571684196591377,0.023165501654148102,3.4451057562279175e-09
9,19558,-0.0019292000215500593,0.6244760751724243,0.26664793491363525,-17.62826156616211,-0.12907981872558594,0.09789948910474777,0.03730040416121483,3.4850933250396565e-09
10,21336,-0.001936181797645986,0.6186352372169495,0.2402699738740921,-17.614091873168945,-0.1265249252319336,0.09296463429927826,0.023867160081863403,5.061624896995909e-09
11,23114,-0.0019312499789521098,0.8137369155883789,0.2662542164325714,-17.54461669921875,-0.11632716655731201,-0.054620251059532166,0.06593010574579239,3.3381366559837033e-09
12,24892,-0.0019283846486359835,0.6558433771133423,0.2632921040058136,-17.373727798461914,-0.0708169937133789,0.05775804445147514,0.026353703811764717,3.3163911616895803e-09
13,26670,-0.0019329285714775324,0.707417368888855,0.250506192445755,-17.44785499572754,-0.13254284858703613,-0.03403745964169502,0.005142247769981623,6.516025496949851e-09
14,28448,-0.0019249999895691872,0.7412450909614563,0.24968130886554718,-17.40531349182129,-0.18148982524871826,-0.033174142241477966,0.03897932544350624,7.3842461034701046e-09
15,30226,-0.0019199999514967203,0.7380380034446716,0.2777465581893921,-17.15593719482422,-0.19653081893920898,0.10432951897382736,0.045906905084848404,4.6350123739102855e-09
16,32004,-0.001920823473483324,0.7106147408485413,0.2867829203605652,-17.02005386352539,-0.27403974533081055,-0.10229261964559555,-0.001130100223235786,3.0292672814624666e-09
17,33782,-0.0019136666087433696,0.653593122959137,0.26331084966659546,-17.139453887939453,-0.23519361019134521,0.038054075092077255,0.0037682666443288326,3.418106908625873e-09
18,35560,-0.0019067894900217652,0.7536455988883972,0.2834458351135254,-16.996061325073242,-0.2039254903793335,0.12194821238517761,0.010139521211385727,3.910426649156307e-09
19,37338,-0.0019072500290349126,0.7697451710700989,0.2768653929233551,-16.802431106567383,-0.1027224063873291,0.0009114710264839232,0.007544985506683588,4.625690941395533e-09
20,39116,-0.0019050475675612688,0.7033663392066956,0.2716160714626312,-16.764856338500977,-0.18644654750823975,0.02041229046881199,0.02908746525645256,3.309102991622126e-09
21,40894,-0.0018949545919895172,0.6781244874000549,0.2749719023704529,-16.85125160217285,-0.20292973518371582,-0.07648053765296936,0.023715723305940628,7.183311279135296e-09
22,42672,-0.0018955651903524995,0.6401305198669434,0.24655044078826904,-16.863067626953125,-0.1981201171875,-0.0018745933193713427,0.008690472692251205,5.4895306078606154e-09
23,44450,-0.0018940833397209644,0.8574903011322021,0.29208850860595703,-16.873781204223633,-0.2525075674057007,0.07900957763195038,0.01478456798940897,4.746745219108561e-09
24,46228,-0.0018864399753510952,0.7954144477844238,0.30843645334243774,-16.551794052124023,-0.20237934589385986,0.022677019238471985,0.016296232119202614,3.830195716147955e-09
25,48006,-0.0018835000228136778,0.871239185333252,0.33052119612693787,-16.430049896240234,-0.12113547325134277,-0.06389422714710236,0.015736578032374382,6.7993912722386085e-09
26,49784,-0.001889925915747881,0.8346495628356934,0.31143608689308167,-16.243486404418945,-0.13191866874694824,0.05850062519311905,0.08664146810770035,3.414988070105096e-09
27,51562,-0.001887964317575097,0.8310243487358093,0.2933070957660675,-16.160058975219727,-0.20340478420257568,0.11260957270860672,0.022454170510172844,6.6551972821571326e-09
28,53340,-0.0018822759157046676,0.8083587288856506,0.24088865518569946,-16.215604782104492,-0.1529836654663086,0.29605215787887573,0.03227600082755089,2.944646970703957e-09
29,55118,-0.0018792999908328056,0.8691735863685608,0.25275591015815735,-16.1141357421875,-0.07809865474700928,0.013861780986189842,0.034451063722372055,3.0569984321715538e-09
